Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_genes,organism,go_library,input_genes,p_adj_global
GO_Cellular_Component_2021,alpha-beta T cell receptor complex (GO:0042105),4/6,8.756305301264766e-09,1.7012250299600118e-07,0,0,414.5416666666667,7691.195409208177,CD3G;CD247;CD3E;CD3D,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",8.856554483983284e-06
GO_Cellular_Component_2021,cell-substrate junction (GO:0030055),14/394,1.0014470748169413e-08,1.7024600271888005e-07,0,0,8.362301101591187,154.02718674887527,HSPA8;ANXA1;ARPC5L;ACTB;ACTG1;PTPRC;YWHAQ;CFL1;ANXA6;RPS3;PFN1;B2M;PPIA;CD99,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",8.856554483983284e-06
GO_Biological_Process_2021,antigen receptor-mediated signaling pathway (GO:0050851),11/185,2.181238364495186e-09,3.517246862748489e-07,0,0,14.011752550690948,279.4416084033794,ZAP70;PTPRC;LCK;PSME1;CD3G;FYN;HLA-A;CD247;CD3E;CD3D;LAT,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",1.7339474586198832e-05
GO_Biological_Process_2021,positive thymic T cell selection (GO:0045059),4/5,2.9299625387746827e-09,4.199612972243712e-07,0,0,829.125,16290.877003827774,ZAP70;CD3G;CD3E;CD3D,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",2.0346005495433306e-05
GO_Cellular_Component_2021,endosome membrane (GO:0010008),12/325,8.098161383051181e-08,1.2237221645499562e-06,0,0,8.533401103688643,139.34227951287406,ANXA1;CD8B;UBB;UBC;HLA-B;ANXA6;HLA-C;HLA-A;HLA-F;RPS27A;B2M;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",5.620764829952384e-05
GO_Cellular_Component_2021,phagocytic vesicle membrane (GO:0030670),6/45,9.338445461535767e-08,1.270028582768864e-06,0,0,32.50572831423895,526.1553022850553,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",5.7493216996882804e-05
GO_Cellular_Component_2021,COPII-coated ER to Golgi transport vesicle (GO:0030134),7/79,1.3637290260751097e-07,1.686064977692863e-06,0,0,20.72819593787336,327.6686841895205,HLA-B;HLA-C;HLA-A;HLA-F;B2M;CTSC;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",7.143557988991257e-05
GO_Biological_Process_2021,antigen processing and presentation of peptide antigen via MHC class I (GO:0002474),6/33,1.3327605124336031e-08,1.7192610610393475e-06,0,0,46.981087470449175,851.928184835787,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",7.2270366744404e-05
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),15/482,1.677080453206393e-08,1.966757986032951e-06,0,0,7.343368182390729,131.4729196310978,IL32;HSPA8;HSP90AA1;ANXA1;CXCR4;IL2RG;ZFP36L2;UBB;LCK;CCL5;UBC;CCL4;RPS3;FYN;RPS27A,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",8.15814678259307e-05
GO_Biological_Process_2021,response to host defenses (GO:0052200),4/7,2.03532203771726e-08,2.0196657143502043e-06,0,0,276.34722222222223,4894.11668073383,UBB;UBC;RPS27A;B2M,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",8.304442081363112e-05
GO_Biological_Process_2021,modulation by symbiont of host defense response (GO:0052031),4/7,2.03532203771726e-08,2.0196657143502043e-06,0,0,276.34722222222223,4894.11668073383,UBB;UBC;RPS27A;B2M,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",8.304442081363112e-05
GO_Cellular_Component_2021,vesicle (GO:0031982),10/226,1.9822520503130546e-07,2.2465523236881285e-06,0,0,10.12551440329218,156.2757925206551,SLC9A3R1;ANXA1;UBB;CFL1;UBC;CALM1;RPS27A;PPIA;ACTB;MYO1F,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.197189860803225e-05
GO_Cellular_Component_2021,lumenal side of endoplasmic reticulum membrane (GO:0098553),5/28,2.533915398786185e-07,2.461517815963721e-06,0,0,45.48512585812357,690.8430996254966,HLA-B;HLA-C;HLA-A;HLA-F;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.947490023654247e-05
GO_Cellular_Component_2021,integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556),5/28,2.533915398786185e-07,2.461517815963721e-06,0,0,45.48512585812357,690.8430996254966,HLA-B;HLA-C;HLA-A;HLA-F;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",9.947490023654247e-05
GO_Cellular_Component_2021,ER to Golgi transport vesicle membrane (GO:0012507),6/54,2.855683560400491e-07,2.589153094763112e-06,0,0,26.398936170212767,397.7998778233708,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.00010374240655442323
GO_Cellular_Component_2021,coated vesicle membrane (GO:0030662),6/55,3.192473546551611e-07,2.7136025145688696e-06,0,0,25.858879722101605,386.7790120528343,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.00010826814100500201
GO_Cellular_Component_2021,recycling endosome membrane (GO:0055038),6/58,4.403792733101903e-07,3.523034186481522e-06,0,0,24.363338788870703,356.57279981244113,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0001353995506118776
GO_Cellular_Component_2021,transport vesicle membrane (GO:0030658),6/60,5.403339892130763e-07,4.082523474054355e-06,0,0,23.458628841607567,338.53331173601583,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0001550041977084508
GO_Biological_Process_2021,T cell differentiation (GO:0030217),6/41,5.23894695571412e-08,4.827315409193724e-06,0,0,36.22796352583587,607.3458764835119,ZAP70;ANXA1;PTPRC;CD8A;LCK;ZFP36L2,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.00018172399845568232
GO_Cellular_Component_2021,lysosome (GO:0005764),13/477,7.38871612223618e-07,5.288765224337477e-06,0,0,6.259116131589377,88.36708823006542,SRGN;HSPA8;IFITM1;HSP90AA1;PRF1;CXCR4;GZMB;CTSW;HLA-F;CST7;LITAF;ANXA6;CTSC,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.00019605910768646332
GO_Biological_Process_2021,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",7/73,7.854858711367004e-08,6.551584141316e-06,0,0,22.61942000651678,370.0434977224353,HLA-B;PSME1;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0002338463504926576
GO_Biological_Process_2021,homotypic cell-cell adhesion (GO:0034109),6/44,8.125995834190389e-08,6.551584141316e-06,0,0,33.36282194848824,544.6685016709359,PLEK;PPIA;ACTB;MYL12A;CD99;ACTG1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0002338463504926576
GO_Biological_Process_2021,proteolysis involved in cellular protein catabolic process (GO:0051603),7/74,8.640269416159922e-08,6.556439733438998e-06,0,0,22.280693307655277,362.3786988234392,UBB;GZMA;UBC;GZMB;CTSW;RPS27A;CTSC,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0002338463504926576
GO_Biological_Process_2021,positive regulation of T cell activation (GO:0050870),7/75,9.490993054424365e-08,6.801878355670795e-06,0,0,21.95192915876028,354.97010315494134,ZAP70;ANXA1;PTPRC;LCK;CCL5;HLA-A;CD3E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0002363338988819048
GO_Biological_Process_2021,modulation by symbiont of host process (GO:0044003),4/10,1.2072170882080686e-07,8.049354563973768e-06,0,0,138.15277777777777,2200.743061756685,UBB;UBC;RPS27A;B2M,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0002706882949084893
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),7/78,1.2479619479029097e-07,8.049354563973768e-06,0,0,21.02120248371952,334.1653083714459,HLA-B;PSME1;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0002706882949084893
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346),8/121,1.6619219212191575e-07,1.0208948944631966e-05,0,0,15.226625625240477,237.68946743341303,CCL5;CCL4;HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.00033493889638555607
GO_Biological_Process_2021,regulation of T cell mediated cytotoxicity (GO:0001914),5/29,3.049719828171407e-07,1.78824480833687e-05,0,0,43.58771929824562,653.9485543615966,PTPRC;HLA-B;HLA-A;HLA-F;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0005650373528624151
GO_Biological_Process_2021,membrane organization (GO:0061024),10/242,3.7286741324760347e-07,2.0912998395191677e-05,0,0,9.419540229885058,139.42843896681958,SLC9A3R1;HSPA8;SUN2;UBB;UBC;CD3G;RPS27A;CD3D;ACTB;ACTG1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0006456288291446716
GO_Biological_Process_2021,antigen processing and presentation of endogenous peptide antigen (GO:0002483),4/14,5.666707862160507e-07,3.0458554759112724e-05,0,0,82.875,1192.031512125974,HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0009221792656328148
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),6/65,8.73710802743793e-07,4.334949752074973e-05,0,0,21.465200144248108,299.45062675658284,IFITM1;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0012686802134744047
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),6/65,8.73710802743793e-07,4.334949752074973e-05,0,0,21.465200144248108,299.45062675658284,IFITM1;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0012686802134744047
GO_Biological_Process_2021,platelet aggregation (GO:0070527),5/36,9.416942302303548e-07,4.338519846418419e-05,0,0,33.73344651952462,468.07131165658654,PLEK;PPIA;ACTB;MYL12A;ACTG1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0012686802134744047
GO_Biological_Process_2021,positive regulation of T cell mediated immunity (GO:0002711),5/36,9.416942302303548e-07,4.338519846418419e-05,0,0,33.73344651952462,468.07131165658654,HLA-B;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0012686802134744047
GO_Biological_Process_2021,negative regulation of natural killer cell mediated cytotoxicity (GO:0045953),4/16,1.022429274849078e-06,4.5480474639838295e-05,0,0,69.05555555555556,952.506005361108,HLA-B;HLA-A;HLA-F;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0013217412012614734
GO_Biological_Process_2021,interferon-gamma-mediated signaling pathway (GO:0060333),6/68,1.1438701789268336e-06,4.918641769385384e-05,0,0,20.42347288949897,279.41543507643144,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.001390808735751735
GO_Cellular_Component_2021,early endosome (GO:0005769),9/266,7.533588346812388e-06,5.122840075832424e-05,0,0,7.559199555308504,89.16936936031274,ANXA1;CD8B;HLA-B;HLA-C;CXCR4;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.0014442114417376679
GO_Biological_Process_2021,Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096),6/71,1.478778454731084e-06,6.15362647291322e-05,0,0,19.477905073649755,261.4771277074381,HSP90AA1;CD3G;FYN;CD247;ACTB;ACTG1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.001689287080727431
GO_Biological_Process_2021,Fc-gamma receptor signaling pathway (GO:0038094),6/72,1.6067318696867162e-06,6.477137849674574e-05,0,0,19.181818181818183,255.9105508202512,HSP90AA1;CD3G;FYN;CD247;ACTB;ACTG1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.001767789275145965
GO_Cellular_Component_2021,phagocytic vesicle (GO:0045335),6/100,1.0952879990821078e-05,7.09329370834127e-05,0,0,13.44907197827071,153.6140644811137,HLA-B;HLA-C;HLA-A;HLA-F;B2M;HLA-E,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.00189745606698129
